"id","occCount"
"3021-26-11",2
"3021-35-10",2
"3021-35-11",1
"3021-37-10",1
"3021-44-11",3
"3022-00-00",8
"3022-51-10",1
"3119-19-01",1
"3120-40-10",1
"3120-64-01",1
"3120-65-00",2
,5
