"id","rightsHolder","datasetName","basisOfRecord","year","month","latitude","longitude","coordinatePrecision","coordinateUncertaintyInMeters","type","taxon_id","taxonRank","taxaSubGroup","kingdom","phylum","class","order","family","genus","scientificName","is_terrestrial","is_freshwater","is_brackish","is_marine","simple_scientificName"
"655f49b5ffe5520017175a76","GBIF","iNaturalist Research-grade Observations","HumanObservation","2023","04",24.80705,121.399308,,5,"land","t0076344","species","Other insects","Animalia","Arthropoda","Insecta","Odonata","Euphaeidae","Bayadera","Bayadera brevicauda","true","true",,,"Bayadera brevicauda"
"655f2d77ffe55200170f917d","GBIF","iNaturalist Research-grade Observations","HumanObservation","2019","06",24.535827,120.866306,,31,"land","t0082488","species","Other insects","Animalia","Arthropoda","Insecta","Odonata","Libellulidae","Orthetrum","Orthetrum glaucum","true","true",,,"Orthetrum glaucum"
"64525370d9db0801d6bba839","台灣生物多樣性網絡 TBN","花蓮農地野生物分布資料集（花蓮場計畫）","HumanObservation","2022","06",23.45639487,121.3807995,,0,"land","t0004629","family","Other insects","Animalia","Arthropoda","Insecta","Diptera","","","Sciomyzinae",,,,,
"645250d6d9db0801d6ba31f0","台灣生物多樣性網絡 TBN","特有生物研究保育中心生態教育園區生物多樣性觀測紀錄","Occurrence","2017","11",23.826889,120.801095,,241,"land","t0049250","species","Other insects","Animalia","Arthropoda","Insecta","Odonata","Libellulidae","Zyxomma","Zyxomma obtusum","true","true",,,"Zyxomma obtusum"
"655f3080ffe552001710679f","GBIF","iNaturalist Research-grade Observations","HumanObservation","2011","05",22.85753,120.262238,,206,"land","t0036452","species","Other insects","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Polyrhachis","Polyrhachis dives","true",,,,"Polyrhachis dives"
"655f4b44ffe552001717bedc","GBIF","iNaturalist Research-grade Observations","HumanObservation","2019","07",24.243141,120.799087,,205,"land","t0079261","species","Other insects","Animalia","Arthropoda","Insecta","Odonata","Platycnemididae","Copera","Copera marginipes","true","true",,,"Copera marginipes"
"6452535dd9db0801d6bb41f0","台灣生物多樣性網絡 TBN","花蓮農地野生物分布資料集（花蓮場計畫）","HumanObservation","2022","04",23.54891,121.3929,,10,"land","t0083982","species","Other insects","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Pheidole","Pheidole parva","true",,,,"Pheidole parva"
"653ab2409a3184000d62fa1c","台灣生物多樣性網絡 TBN","花蓮農地野生物分布資料集（花蓮場計畫）","HumanObservation","2023","01",23.54891,121.3929,,10,"land","t0077477","species","Other insects","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Carebara","Carebara diversa","true",,,,"Carebara diversa"
"655f2f57ffe5520017102c44","GBIF","iNaturalist Research-grade Observations","HumanObservation","2020","10",25.155178,121.503893,,8,"land","t0032196","species","Other insects","Animalia","Arthropoda","Insecta","Diptera","Tipulidae","Pselliophora","Pselliophora scalator","true","true",,,"Pselliophora scalator"
"653ab2419a3184000d62fe3e","台灣生物多樣性網絡 TBN","花蓮農地野生物分布資料集（花蓮場計畫）","HumanObservation","2023","06",23.51023,121.39867,,10,"land","t0014509","genus","Other insects","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","","Pheidole",,,,,
